ph,moisture,label,icon,reason
6.59,47.8,Sawi,🥬,Panen cepat
7.27,46.4,Kembang Kol,🥦,Anti akar gada
7.69,22.1,Bawang Daun,🌱,Tahan pH tinggi
6.44,46.6,Sawi,🥬,Panen cepat
6.33,81.9,Kangkung Air,🌿,Butuh genangan air
7.65,32.1,Bawang Merah,🧅,Suka pH netral-basa
6.17,74.9,Selada Air,🥗,Air mengalir
4.76,19.0,Singkong,🥔,Sangat kuat kering & asam
6.25,24.4,Cabai Rawit,🌶️,Anti becek
6.32,87.6,Kangkung Air,🌿,Butuh genangan air
6.03,61.8,Oyong,🥒,Subur air tinggi
6.39,23.6,Cabai Rawit,🌶️,Anti becek
5.69,35.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.96,47.4,Bayam,🥬,Perlu air cukup
6.48,87.6,Kangkung Air,🌿,Butuh genangan air
6.18,18.7,Cabai Keriting,🌶️,Drainase baik
6.7,32.3,Kemangi,🌿,Suka panas
5.61,51.8,Talas,🍃,Kuat di tanah asam lembap
5.15,10.2,Singkong,🥔,Sangat kuat kering & asam
5.19,46.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.45,52.2,Kembang Kol,🥦,Anti akar gada
6.32,77.4,Selada Air,🥗,Air mengalir
5.63,47.8,Talas,🍃,Kuat di tanah asam lembap
5.92,36.1,Terong Lalap,🍆,Tumbuh baik di kebun
7.76,22.7,Bawang Daun,🌱,Tahan pH tinggi
6.55,49.7,Sawi,🥬,Panen cepat
6.45,22.5,Cabai Rawit,🌶️,Anti becek
7.3,54.1,Kembang Kol,🥦,Anti akar gada
6.9,33.2,Kemangi,🌿,Suka panas
7.73,60.6,Kubis (Kol),🥬,Toleran tanah basa
7.49,55.6,Kubis (Kol),🥬,Toleran tanah basa
6.55,83.5,Kangkung Air,🌿,Butuh genangan air
6.02,17.2,Cabai Keriting,🌶️,Drainase baik
6.94,48.8,Bayam,🥬,Perlu air cukup
6.28,57.9,Oyong,🥒,Subur air tinggi
4.24,86.9,Pakis Sayur,🌿,Lembap hutan
4.23,91.1,Pakis Sayur,🌿,Lembap hutan
6.03,37.3,Terong Lalap,🍆,Tumbuh baik di kebun
6.47,20.2,Cabai Keriting,🌶️,Drainase baik
5.29,46.7,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.24,88.0,Kangkung Air,🌿,Butuh genangan air
6.36,51.9,Kacang Panjang,🥢,Tanah subur ideal
6.0,63.4,Oyong,🥒,Subur air tinggi
5.23,14.7,Singkong,🥔,Sangat kuat kering & asam
6.43,15.4,Cabai Keriting,🌶️,Drainase baik
7.33,31.2,Bawang Merah,🧅,Suka pH netral-basa
7.25,55.9,Kubis (Kol),🥬,Toleran tanah basa
6.84,26.0,Kemangi,🌿,Suka panas
4.38,87.7,Pakis Sayur,🌿,Lembap hutan
6.71,85.2,Kangkung Air,🌿,Butuh genangan air
6.49,43.7,Sawi,🥬,Panen cepat
6.3,86.1,Kangkung Air,🌿,Butuh genangan air
7.02,50.0,Kembang Kol,🥦,Anti akar gada
6.71,20.9,Cabai Rawit,🌶️,Anti becek
5.72,39.4,Terong Lalap,🍆,Tumbuh baik di kebun
6.64,28.4,Cabai Rawit,🌶️,Anti becek
6.04,18.6,Cabai Keriting,🌶️,Drainase baik
5.59,35.0,Terong Lalap,🍆,Tumbuh baik di kebun
6.26,23.4,Cabai Keriting,🌶️,Drainase baik
5.32,45.8,Talas,🍃,Kuat di tanah asam lembap
6.65,55.0,Kacang Panjang,🥢,Tanah subur ideal
7.06,46.3,Kembang Kol,🥦,Anti akar gada
7.79,60.7,Kubis (Kol),🥬,Toleran tanah basa
7.46,64.8,Kubis (Kol),🥬,Toleran tanah basa
7.39,56.0,Kubis (Kol),🥬,Toleran tanah basa
4.75,78.7,Genjer,🌿,Suka pH rendah & basah
5.38,45.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.6,80.2,Kangkung Air,🌿,Butuh genangan air
5.98,19.8,Cabai Keriting,🌶️,Drainase baik
7.64,57.7,Kubis (Kol),🥬,Toleran tanah basa
7.19,47.6,Kembang Kol,🥦,Anti akar gada
6.06,17.1,Cabai Keriting,🌶️,Drainase baik
4.72,90.8,Pakis Sayur,🌿,Lembap hutan
6.32,24.9,Cabai Keriting,🌶️,Drainase baik
4.36,85.6,Pakis Sayur,🌿,Lembap hutan
7.26,27.1,Bawang Merah,🧅,Suka pH netral-basa
4.72,89.7,Pakis Sayur,🌿,Lembap hutan
6.98,52.7,Kembang Kol,🥦,Anti akar gada
7.28,62.6,Kubis (Kol),🥬,Toleran tanah basa
7.2,31.7,Bawang Merah,🧅,Suka pH netral-basa
7.06,48.3,Bayam,🥬,Perlu air cukup
5.98,32.5,Terong Lalap,🍆,Tumbuh baik di kebun
6.65,27.2,Kemangi,🌿,Suka panas
8.05,26.8,Bawang Daun,🌱,Tahan pH tinggi
5.29,47.7,Talas,🍃,Kuat di tanah asam lembap
6.48,87.9,Kangkung Air,🌿,Butuh genangan air
6.66,51.2,Bayam,🥬,Perlu air cukup
6.27,24.0,Cabai Rawit,🌶️,Anti becek
7.34,61.2,Kubis (Kol),🥬,Toleran tanah basa
6.8,88.5,Kangkung Air,🌿,Butuh genangan air
6.17,60.2,Oyong,🥒,Subur air tinggi
6.05,79.2,Selada Air,🥗,Air mengalir
6.22,58.3,Kacang Panjang,🥢,Tanah subur ideal
5.54,35.7,Terong Lalap,🍆,Tumbuh baik di kebun
5.39,49.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.91,49.9,Kembang Kol,🥦,Anti akar gada
6.76,88.1,Kangkung Air,🌿,Butuh genangan air
6.64,29.6,Kemangi,🌿,Suka panas
7.74,29.2,Bawang Merah,🧅,Suka pH netral-basa
5.87,36.5,Terong Lalap,🍆,Tumbuh baik di kebun
5.96,35.0,Terong Lalap,🍆,Tumbuh baik di kebun
6.06,60.5,Oyong,🥒,Subur air tinggi
5.37,49.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.56,94.7,Pakis Sayur,🌿,Lembap hutan
6.6,23.2,Cabai Rawit,🌶️,Anti becek
4.85,11.7,Singkong,🥔,Sangat kuat kering & asam
6.58,40.6,Sawi,🥬,Panen cepat
7.66,27.6,Bawang Daun,🌱,Tahan pH tinggi
5.06,41.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.68,88.5,Kangkung Air,🌿,Butuh genangan air
5.73,49.2,Talas,🍃,Kuat di tanah asam lembap
5.14,17.1,Singkong,🥔,Sangat kuat kering & asam
5.89,35.3,Terong Lalap,🍆,Tumbuh baik di kebun
5.55,30.3,Terong Lalap,🍆,Tumbuh baik di kebun
7.86,29.7,Bawang Daun,🌱,Tahan pH tinggi
6.55,24.4,Cabai Rawit,🌶️,Anti becek
6.57,26.7,Kemangi,🌿,Suka panas
4.9,76.3,Genjer,🌿,Suka pH rendah & basah
6.46,40.1,Sawi,🥬,Panen cepat
5.76,35.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.63,30.2,Kemangi,🌿,Suka panas
5.7,39.3,Terong Lalap,🍆,Tumbuh baik di kebun
6.58,30.1,Kemangi,🌿,Suka panas
7.3,30.7,Bawang Merah,🧅,Suka pH netral-basa
6.53,54.3,Kacang Panjang,🥢,Tanah subur ideal
5.07,81.2,Genjer,🌿,Suka pH rendah & basah
7.34,47.5,Kembang Kol,🥦,Anti akar gada
6.67,80.4,Kangkung Air,🌿,Butuh genangan air
4.5,89.8,Pakis Sayur,🌿,Lembap hutan
5.48,47.0,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.53,58.6,Kacang Panjang,🥢,Tanah subur ideal
5.19,17.8,Singkong,🥔,Sangat kuat kering & asam
4.78,88.9,Pakis Sayur,🌿,Lembap hutan
7.03,53.9,Kembang Kol,🥦,Anti akar gada
6.28,75.5,Selada Air,🥗,Air mengalir
6.45,56.7,Oyong,🥒,Subur air tinggi
6.05,72.1,Selada Air,🥗,Air mengalir
6.67,58.9,Kacang Panjang,🥢,Tanah subur ideal
5.02,16.7,Singkong,🥔,Sangat kuat kering & asam
6.69,59.3,Kacang Panjang,🥢,Tanah subur ideal
8.01,21.9,Bawang Daun,🌱,Tahan pH tinggi
5.29,46.3,Talas,🍃,Kuat di tanah asam lembap
6.99,51.4,Bayam,🥬,Perlu air cukup
6.64,22.6,Cabai Rawit,🌶️,Anti becek
7.48,53.5,Kembang Kol,🥦,Anti akar gada
6.55,48.4,Sawi,🥬,Panen cepat
5.26,51.8,Talas,🍃,Kuat di tanah asam lembap
6.99,28.9,Kemangi,🌿,Suka panas
5.38,53.6,Talas,🍃,Kuat di tanah asam lembap
5.9,58.0,Oyong,🥒,Subur air tinggi
6.93,48.1,Bayam,🥬,Perlu air cukup
5.41,40.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.5,22.1,Cabai Rawit,🌶️,Anti becek
5.34,46.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.93,83.6,Genjer,🌿,Suka pH rendah & basah
6.98,52.2,Bayam,🥬,Perlu air cukup
6.56,26.8,Cabai Rawit,🌶️,Anti becek
4.62,87.9,Pakis Sayur,🌿,Lembap hutan
4.96,82.2,Genjer,🌿,Suka pH rendah & basah
5.9,61.5,Oyong,🥒,Subur air tinggi
5.81,38.8,Terong Lalap,🍆,Tumbuh baik di kebun
6.46,82.9,Kangkung Air,🌿,Butuh genangan air
6.66,48.5,Bayam,🥬,Perlu air cukup
6.99,54.3,Bayam,🥬,Perlu air cukup
6.23,22.4,Cabai Keriting,🌶️,Drainase baik
5.01,81.6,Genjer,🌿,Suka pH rendah & basah
6.3,81.4,Kangkung Air,🌿,Butuh genangan air
7.11,46.0,Kembang Kol,🥦,Anti akar gada
5.61,37.7,Terong Lalap,🍆,Tumbuh baik di kebun
5.41,50.6,Talas,🍃,Kuat di tanah asam lembap
6.35,17.7,Cabai Keriting,🌶️,Drainase baik
7.06,28.5,Kemangi,🌿,Suka panas
7.04,28.6,Kemangi,🌿,Suka panas
6.41,16.5,Cabai Keriting,🌶️,Drainase baik
5.56,49.7,Talas,🍃,Kuat di tanah asam lembap
6.49,23.2,Cabai Rawit,🌶️,Anti becek
6.22,56.6,Oyong,🥒,Subur air tinggi
6.64,50.0,Bayam,🥬,Perlu air cukup
7.55,57.2,Kubis (Kol),🥬,Toleran tanah basa
6.45,55.6,Oyong,🥒,Subur air tinggi
7.49,60.4,Kubis (Kol),🥬,Toleran tanah basa
6.34,57.3,Oyong,🥒,Subur air tinggi
6.53,53.8,Bayam,🥬,Perlu air cukup
